2022-06-28 00:06:34 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 00:06:539 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 00:06:636 INFO  HomePage :47 - Clicking on flyingninja : [[ChromeDriver: chrome on WINDOWS (337f8b7724b696ff7dc6870d4927d47a)] -> xpath: //body/div[@id='site-viewport']/div[@id='page']/div[@id='content']/div[@id='primary']/main[@id='main']/div[2]/ul[1]/li[1]/div[1]/a[2]]
2022-06-28 01:06:474 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 01:06:60 INFO  HomePage :51 - Clicking on flyingninja : [[ChromeDriver: chrome on WINDOWS (5ec00ef6d9b17b6366d4488362301bbd)] -> xpath: //body/div[@id='site-viewport']/div[@id='page']/div[@id='content']/div[@id='primary']/main[@id='main']/div[2]/ul[1]/li[1]/div[1]/a[2]]
2022-06-28 01:06:778 INFO  HomePage :56 - Clicking on premium quality : [[ChromeDriver: chrome on WINDOWS (5ec00ef6d9b17b6366d4488362301bbd)] -> xpath: //a[@data-product_id='51']]
2022-06-28 01:06:82 INFO  HomePage :60 - Clicking on patient Ninja : [[ChromeDriver: chrome on WINDOWS (5ec00ef6d9b17b6366d4488362301bbd)] -> xpath: //a[@data-product_id='66']]
2022-06-28 01:06:612 INFO  HomePage :65 - Clicking on shipyourIdea: [[ChromeDriver: chrome on WINDOWS (5ec00ef6d9b17b6366d4488362301bbd)] -> xpath: //a[@data-product_id='57']]
2022-06-28 01:06:634 INFO  HomePage :69 - Clicking on cart : [[ChromeDriver: chrome on WINDOWS (5ec00ef6d9b17b6366d4488362301bbd)] -> xpath: //li[@class='page_item page-item-8']]
2022-06-28 01:06:686 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 01:06:25 INFO  HomePage :51 - Clicking on flyingninja : [[ChromeDriver: chrome on WINDOWS (eebf37d424d34c6e30bcf0fc6b7467af)] -> xpath: //body/div[@id='site-viewport']/div[@id='page']/div[@id='content']/div[@id='primary']/main[@id='main']/div[2]/ul[1]/li[1]/div[1]/a[2]]
2022-06-28 01:06:464 INFO  HomePage :56 - Clicking on premium quality : [[ChromeDriver: chrome on WINDOWS (eebf37d424d34c6e30bcf0fc6b7467af)] -> xpath: //a[@data-product_id='51']]
2022-06-28 01:06:705 INFO  HomePage :60 - Clicking on patient Ninja : [[ChromeDriver: chrome on WINDOWS (eebf37d424d34c6e30bcf0fc6b7467af)] -> xpath: //a[@data-product_id='66']]
2022-06-28 01:06:989 INFO  HomePage :65 - Clicking on shipyourIdea: [[ChromeDriver: chrome on WINDOWS (eebf37d424d34c6e30bcf0fc6b7467af)] -> xpath: //a[@data-product_id='57']]
2022-06-28 01:06:13 INFO  HomePage :69 - Clicking on cart : [[ChromeDriver: chrome on WINDOWS (eebf37d424d34c6e30bcf0fc6b7467af)] -> xpath: //li[@class='page_item page-item-8']]
2022-06-28 01:06:872 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 01:06:845 INFO  HomePage :51 - Clicking on flyingninja : [[ChromeDriver: chrome on WINDOWS (84b640a1929f7a631cf22a4aca03e282)] -> xpath: //body/div[@id='site-viewport']/div[@id='page']/div[@id='content']/div[@id='primary']/main[@id='main']/div[2]/ul[1]/li[1]/div[1]/a[2]]
2022-06-28 01:06:504 INFO  HomePage :56 - Clicking on premium quality : [[ChromeDriver: chrome on WINDOWS (84b640a1929f7a631cf22a4aca03e282)] -> xpath: //a[@data-product_id='51']]
2022-06-28 01:06:885 INFO  HomePage :60 - Clicking on patient Ninja : [[ChromeDriver: chrome on WINDOWS (84b640a1929f7a631cf22a4aca03e282)] -> xpath: //a[@data-product_id='66']]
2022-06-28 01:06:534 INFO  HomePage :65 - Clicking on shipyourIdea: [[ChromeDriver: chrome on WINDOWS (84b640a1929f7a631cf22a4aca03e282)] -> xpath: //a[@data-product_id='57']]
2022-06-28 01:06:672 INFO  HomePage :69 - Clicking on cart : [[ChromeDriver: chrome on WINDOWS (84b640a1929f7a631cf22a4aca03e282)] -> xpath: //li[@class='page_item page-item-8']]
2022-06-28 01:06:232 INFO  ManageDriver :35 - Launching Chrome Browser
2022-06-28 01:06:685 INFO  HomePage :51 - Clicking on flyingninja : [[ChromeDriver: chrome on WINDOWS (7b52ed3cc19f756aca91201474457c83)] -> xpath: //body/div[@id='site-viewport']/div[@id='page']/div[@id='content']/div[@id='primary']/main[@id='main']/div[2]/ul[1]/li[1]/div[1]/a[2]]
2022-06-28 01:06:276 INFO  HomePage :56 - Clicking on premium quality : [[ChromeDriver: chrome on WINDOWS (7b52ed3cc19f756aca91201474457c83)] -> xpath: //a[@data-product_id='22']]
2022-06-28 01:06:471 INFO  HomePage :60 - Clicking on patient Ninja : [[ChromeDriver: chrome on WINDOWS (7b52ed3cc19f756aca91201474457c83)] -> xpath: //a[@data-product_id='66']]
2022-06-28 01:06:928 INFO  HomePage :65 - Clicking on shipyourIdea: [[ChromeDriver: chrome on WINDOWS (7b52ed3cc19f756aca91201474457c83)] -> xpath: //a[@data-product_id='57']]
2022-06-28 01:06:755 INFO  HomePage :69 - Clicking on cart : [[ChromeDriver: chrome on WINDOWS (7b52ed3cc19f756aca91201474457c83)] -> xpath: //li[@class='page_item page-item-8']]
2022-06-28 02:06:647 INFO  ManageDriver :35 - Launching Chrome Browser
